Entry	Entry name	Protein names	Organism	Length	Gene names  (primary )	Gene ontology (cellular component)	Gene ontology (biological process)	Gene ontology (molecular function)
Q8N5L8	RP25L_HUMAN	Ribonuclease P protein subunit p25-like protein (RNase P protein subunit-like p25) (Rpp25-like protein)	Homo sapiens (Human)	163	RPP25L	nucleus [GO:0005634]		RNA binding [GO:0003723]
Q8N983	RM43_HUMAN	39S ribosomal protein L43, mitochondrial (L43mt) (MRP-L43) (Mitochondrial large ribosomal subunit protein mL43) (Mitochondrial ribosomal protein bMRP36a)	Homo sapiens (Human)	215	MRPL43	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739]	mitochondrial translational elongation [GO:0070125]; mitochondrial translational termination [GO:0070126]; translation [GO:0006412]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
Q8NDD1	CA131_HUMAN	Uncharacterized protein C1orf131	Homo sapiens (Human)	293	C1orf131	chromosome [GO:0005694]		RNA binding [GO:0003723]
Q8TBF4	ZCRB1_HUMAN	Zinc finger CCHC-type and RNA-binding motif-containing protein 1 (U11/U12 small nuclear ribonucleoprotein 31 kDa protein) (U11/U12 snRNP 31 kDa protein) (U11/U12-31K)	Homo sapiens (Human)	217	ZCRB1	nucleoplasm [GO:0005654]; U12-type spliceosomal complex [GO:0005689]	mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]	RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
Q92973	TNPO1_HUMAN	Transportin-1 (Importin beta-2) (Karyopherin beta-2) (M9 region interaction protein) (MIP)	Homo sapiens (Human)	898	TNPO1	cilium [GO:0005929]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nucleus [GO:0005634]	intraciliary transport involved in cilium assembly [GO:0035735]; NLS-bearing protein import into nucleus [GO:0006607]; protein import into nucleus [GO:0006606]; regulation of mRNA stability [GO:0043488]; ribosomal protein import into nucleus [GO:0006610]; viral process [GO:0016032]	nuclear localization sequence binding [GO:0008139]; protein transporter activity [GO:0008565]; Ran GTPase binding [GO:0008536]; RNA binding [GO:0003723]
Q93073	SBP2L_HUMAN	Selenocysteine insertion sequence-binding protein 2-like (SECIS-binding protein 2-like)	Homo sapiens (Human)	1101	SECISBP2L	ribonucleoprotein complex [GO:1990904]	selenocysteine incorporation [GO:0001514]	mRNA 3'-UTR binding [GO:0003730]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; selenocysteine insertion sequence binding [GO:0035368]
Q99551	MTEF1_HUMAN	Transcription termination factor 1, mitochondrial (Mitochondrial transcription termination factor 1) (mTERF) (mTERF1)	Homo sapiens (Human)	399	MTERF1	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]	DNA geometric change [GO:0032392]; DNA-templated transcription, termination [GO:0006353]; mitochondrion organization [GO:0007005]; regulation of transcription, DNA-templated [GO:0006355]; termination of mitochondrial transcription [GO:0006393]	double-stranded DNA binding [GO:0003690]; RNA binding [GO:0003723]
Q99733	NP1L4_HUMAN	Nucleosome assembly protein 1-like 4 (Nucleosome assembly protein 2) (NAP-2)	Homo sapiens (Human)	375	NAP1L4	cytoplasm [GO:0005737]; nucleus [GO:0005634]	nucleosome assembly [GO:0006334]	nucleosome binding [GO:0031491]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]
Q9BTC0	DIDO1_HUMAN	Death-inducer obliterator 1 (DIO-1) (hDido1) (Death-associated transcription factor 1) (DATF-1)	Homo sapiens (Human)	2240	DIDO1	cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle [GO:0005819]	apoptotic signaling pathway [GO:0097190]; transcription, DNA-templated [GO:0006351]	metal ion binding [GO:0046872]; RNA binding [GO:0003723]
Q9BUL9	RPP25_HUMAN	Ribonuclease P protein subunit p25 (RNase P protein subunit p25) (EC 3.1.26.5)	Homo sapiens (Human)	199	RPP25	microtubule organizing center [GO:0005815]; multimeric ribonuclease P complex [GO:0030681]; nucleoplasm [GO:0005654]; ribonuclease MRP complex [GO:0000172]	tRNA 5'-leader removal [GO:0001682]	ribonuclease P activity [GO:0004526]; RNA binding [GO:0003723]
Q9BYJ9	YTHD1_HUMAN	YTH domain-containing family protein 1 (Dermatomyositis associated with cancer putative autoantigen 1) (DACA-1)	Homo sapiens (Human)	559	YTHDF1	cytoplasm [GO:0005737]	positive regulation of translation [GO:0045727]; positive regulation of translational initiation [GO:0045948]	N6-methyladenosine-containing RNA binding [GO:1990247]; ribosome binding [GO:0043022]; RNA binding [GO:0003723]
Q9H6R0	DHX33_HUMAN	ATP-dependent RNA helicase DHX33 (EC 3.6.4.13) (DEAH box protein 33)	Homo sapiens (Human)	707	DHX33	cytoplasm [GO:0005737]; NLRP3 inflammasome complex [GO:0072559]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	positive regulation of MAPK cascade [GO:0043410]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of type I interferon production [GO:0032481]; translational initiation [GO:0006413]	activating transcription factor binding [GO:0033613]; ATP binding [GO:0005524]; ATP-dependent 3'-5' RNA helicase activity [GO:0034459]; double-stranded RNA binding [GO:0003725]; mRNA binding [GO:0003729]; rDNA binding [GO:0000182]; ribosomal large subunit binding [GO:0043023]; RNA binding [GO:0003723]
Q9HBD1	RC3H2_HUMAN	Roquin-2 (EC 2.3.2.27) (Membrane-associated nucleic acid-binding protein) (RING finger and CCCH-type zinc finger domain-containing protein 2) (RING finger protein 164) (RING-type E3 ubiquitin transferase Roquin-2)	Homo sapiens (Human)	1191	RC3H2	cell surface [GO:0009986]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; P-body [GO:0000932]	B cell homeostasis [GO:0001782]; limb development [GO:0060173]; lung alveolus development [GO:0048286]; lymph node development [GO:0048535]; multicellular organism growth [GO:0035264]; negative regulation of T-helper 17 cell differentiation [GO:2000320]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; post-embryonic development [GO:0009791]; posttranscriptional regulation of gene expression [GO:0010608]; protein polyubiquitination [GO:0000209]; regulation of miRNA metabolic process [GO:2000628]; spleen development [GO:0048536]; T cell homeostasis [GO:0043029]; T cell proliferation [GO:0042098]; T cell receptor signaling pathway [GO:0050852]; T follicular helper cell differentiation [GO:0061470]	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; double-stranded RNA binding [GO:0003725]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA stem-loop binding [GO:0035613]; ubiquitin-protein transferase activity [GO:0004842]
Q9HCJ3	RAVR2_HUMAN	Ribonucleoprotein PTB-binding 2 (Protein raver-2)	Homo sapiens (Human)	691	RAVER2	cytoplasm [GO:0005737]; nucleus [GO:0005634]		RNA binding [GO:0003723]
Q9NP64	NO40_HUMAN	Nucleolar protein of 40 kDa (pNO40) (Pnn-interacting nucleolar protein) (Putative S1 RNA-binding domain protein) (PS1D protein) (Zinc finger CCHC domain-containing protein 17)	Homo sapiens (Human)	241	ZCCHC17	nucleolus [GO:0005730]		RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
Q9NRR4	RNC_HUMAN	Ribonuclease 3 (EC 3.1.26.3) (Protein Drosha) (Ribonuclease III) (RNase III) (p241)	Homo sapiens (Human)	1374	DROSHA	microprocessor complex [GO:0070877]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]	defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; miRNA metabolic process [GO:0010586]; positive regulation of gene expression [GO:0010628]; pre-miRNA processing [GO:0031054]; primary miRNA processing [GO:0031053]; production of siRNA involved in RNA interference [GO:0030422]; regulation of inflammatory response [GO:0050727]; regulation of miRNA metabolic process [GO:2000628]; regulation of regulatory T cell differentiation [GO:0045589]; ribosome biogenesis [GO:0042254]; RNA processing [GO:0006396]; rRNA catabolic process [GO:0016075]	DEAD/H-box RNA helicase binding [GO:0017151]; double-stranded RNA binding [GO:0003725]; lipopolysaccharide binding [GO:0001530]; metal ion binding [GO:0046872]; primary miRNA binding [GO:0070878]; protein homodimerization activity [GO:0042803]; ribonuclease III activity [GO:0004525]; RNA binding [GO:0003723]; R-SMAD binding [GO:0070412]; SMAD binding [GO:0046332]
Q9NX24	NHP2_HUMAN	H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2)	Homo sapiens (Human)	153	NHP2	box H/ACA scaRNP complex [GO:0072589]; box H/ACA snoRNP complex [GO:0031429]; box H/ACA telomerase RNP complex [GO:0090661]; nuclear chromosome, telomeric region [GO:0000784]; nucleoplasm [GO:0005654]; small nucleolar ribonucleoprotein complex [GO:0005732]; telomerase holoenzyme complex [GO:0005697]	cleavage involved in rRNA processing [GO:0000469]; maturation of LSU-rRNA [GO:0000470]; positive regulation of telomerase RNA localization to Cajal body [GO:1904874]; rRNA pseudouridine synthesis [GO:0031118]; snRNA pseudouridine synthesis [GO:0031120]; telomere maintenance via telomerase [GO:0007004]	box H/ACA snoRNA binding [GO:0034513]; RNA binding [GO:0003723]; telomerase RNA binding [GO:0070034]
Q9NYL2	M3K20_HUMAN	Mitogen-activated protein kinase kinase kinase 20 (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)	Homo sapiens (Human)	800	MAP3K20	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]	activation of JUN kinase activity [GO:0007257]; activation of MAPKK activity [GO:0000186]; cell cycle arrest [GO:0007050]; cell death [GO:0008219]; cell differentiation [GO:0030154]; cell population proliferation [GO:0008283]; cellular response to gamma radiation [GO:0071480]; cytoskeleton organization [GO:0007010]; DNA damage checkpoint [GO:0000077]; embryonic digit morphogenesis [GO:0042733]; limb development [GO:0060173]; mitotic cell cycle checkpoint [GO:0007093]; positive regulation of apoptotic process [GO:0043065]; protein phosphorylation [GO:0006468]; stress-activated MAPK cascade [GO:0051403]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; MAP kinase kinase kinase activity [GO:0004709]; protein serine/threonine kinase activity [GO:0004674]; RNA binding [GO:0003723]
Q9UGY1	NOL12_HUMAN	Nucleolar protein 12	Homo sapiens (Human)	213	NOL12	nucleolus [GO:0005730]	negative regulation of apoptotic process [GO:0043066]; nucleolus organization [GO:0007000]; positive regulation of cell growth [GO:0030307]; positive regulation of cell population proliferation [GO:0008284]; rRNA processing [GO:0006364]	RNA binding [GO:0003723]; rRNA binding [GO:0019843]; single-stranded DNA binding [GO:0003697]
Q9UH17	ABC3B_HUMAN	DNA dC->dU-editing enzyme APOBEC-3B (A3B) (EC 3.5.4.38) (Phorbolin-1-related protein) (Phorbolin-2/3)	Homo sapiens (Human)	382	APOBEC3B	cytoplasm [GO:0005737]; nucleus [GO:0005634]	cytidine to uridine editing [GO:0016554]; defense response to virus [GO:0051607]; DNA demethylation [GO:0080111]; innate immune response [GO:0045087]; negative regulation of transposition [GO:0010529]	cytidine deaminase activity [GO:0004126]; deoxycytidine deaminase activity [GO:0047844]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
Q9UKD2	MRT4_HUMAN	mRNA turnover protein 4 homolog (Ribosome assembly factor MRTO4)	Homo sapiens (Human)	239	MRTO4	cytoplasm [GO:0005737]; nucleolus [GO:0005730]	nuclear-transcribed mRNA catabolic process [GO:0000956]; ribosomal large subunit assembly [GO:0000027]; rRNA processing [GO:0006364]	RNA binding [GO:0003723]
Q9UKJ3	GPTC8_HUMAN	G patch domain-containing protein 8	Homo sapiens (Human)	1502	GPATCH8			metal ion binding [GO:0046872]; RNA binding [GO:0003723]
Q9Y221	NIP7_HUMAN	60S ribosome subunit biogenesis protein NIP7 homolog (KD93)	Homo sapiens (Human)	180	NIP7	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]	ribosomal large subunit biogenesis [GO:0042273]; ribosome assembly [GO:0042255]	RNA binding [GO:0003723]
Q9Y2H6	FND3A_HUMAN	Fibronectin type-III domain-containing protein 3A (Human gene expressed in odontoblasts)	Homo sapiens (Human)	1198	FNDC3A	acrosomal vesicle [GO:0001669]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; vesicle membrane [GO:0012506]	cell-cell adhesion [GO:0098609]; fertilization [GO:0009566]; Sertoli cell development [GO:0060009]; spermatid development [GO:0007286]	RNA binding [GO:0003723]
Q9Y2Q9	RT28_HUMAN	28S ribosomal protein S28, mitochondrial (MRP-S28) (S28mt) (28S ribosomal protein S35, mitochondrial) (MRP-S35) (S35mt) (Mitochondrial small ribosomal subunit protein bS1m)	Homo sapiens (Human)	187	MRPS28	mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]	mitochondrial translational elongation [GO:0070125]; mitochondrial translational termination [GO:0070126]	RNA binding [GO:0003723]
Q9Y314	NOSIP_HUMAN	Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP) (eNOS-interacting protein)	Homo sapiens (Human)	301	NOSIP	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi membrane [GO:0000139]; nucleus [GO:0005634]	multicellular organism development [GO:0007275]; negative regulation of catalytic activity [GO:0043086]; negative regulation of nitric-oxide synthase activity [GO:0051001]; regulation of nitric-oxide synthase activity [GO:0050999]	RNA binding [GO:0003723]; ubiquitin protein ligase activity [GO:0061630]
Q9Y324	FCF1_HUMAN	rRNA-processing protein FCF1 homolog	Homo sapiens (Human)	198	FCF1	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]	rRNA processing [GO:0006364]	RNA binding [GO:0003723]
Q9Y333	LSM2_HUMAN	U6 snRNA-associated Sm-like protein LSm2 (Protein G7b) (Small nuclear ribonuclear protein D homolog) (snRNP core Sm-like protein Sm-x5)	Homo sapiens (Human)	95	LSM2	catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; Lsm1-7-Pat1 complex [GO:1990726]; Lsm2-8 complex [GO:0120115]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P-body [GO:0000932]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688]	exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay [GO:0043928]; mRNA splicing, via spliceosome [GO:0000398]	Ral GTPase binding [GO:0017160]; RNA binding [GO:0003723]; U6 snRNA binding [GO:0017070]
Q9Y388	RBMX2_HUMAN	RNA-binding motif protein, X-linked 2	Homo sapiens (Human)	322	RBMX2	nucleus [GO:0005634]; U2 snRNP [GO:0005686]; U2-type precatalytic spliceosome [GO:0071005]	mRNA splicing, via spliceosome [GO:0000398]	RNA binding [GO:0003723]
Q9Y446	PKP3_HUMAN	Plakophilin-3	Homo sapiens (Human)	797	PKP3	cell-cell adherens junction [GO:0005913]; cell-cell junction [GO:0005911]; cell junction [GO:0030054]; cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; desmosome [GO:0030057]; messenger ribonucleoprotein complex [GO:1990124]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	cell-cell adhesion [GO:0098609]; cell-cell junction assembly [GO:0007043]; cornification [GO:0070268]; desmosome assembly [GO:0002159]; keratinization [GO:0031424]; negative regulation of mRNA catabolic process [GO:1902373]; positive regulation of gene expression [GO:0010628]; protein localization to plasma membrane [GO:0072659]; regulation of translation [GO:0006417]	alpha-catenin binding [GO:0045294]; cadherin binding [GO:0045296]; cadherin binding involved in cell-cell adhesion [GO:0098641]; cell adhesion molecule binding [GO:0050839]; enzyme binding [GO:0019899]
O00410	IPO5_HUMAN	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	Homo sapiens (Human)	1097	IPO5	cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; nucleolus [GO:0005730]; nucleus [GO:0005634]	cellular response to amino acid stimulus [GO:0071230]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; NLS-bearing protein import into nucleus [GO:0006607]; positive regulation of protein import into nucleus [GO:0042307]; ribosomal protein import into nucleus [GO:0006610]; viral process [GO:0016032]	GTPase inhibitor activity [GO:0005095]; nuclear localization sequence binding [GO:0008139]; protein transporter activity [GO:0008565]; Ran GTPase binding [GO:0008536]; RNA binding [GO:0003723]
O43707	ACTN4_HUMAN	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	Homo sapiens (Human)	911	ACTN4	brush border [GO:0005903]; cell-cell junction [GO:0005911]; cortical cytoskeleton [GO:0030863]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; intracellular [GO:0005622]; neuron projection [GO:0043005]; nuclear body [GO:0016604]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; platelet alpha granule lumen [GO:0031093]; protein-containing complex [GO:0032991]; pseudopodium [GO:0031143]; ribonucleoprotein complex [GO:1990904]; stress fiber [GO:0001725]; Z disc [GO:0030018]	actin filament bundle assembly [GO:0051017]; bicellular tight junction assembly [GO:0070830]; negative regulation of cellular component movement [GO:0051271]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; peroxisome proliferator activated receptor signaling pathway [GO:0035357]; platelet degranulation [GO:0002576]; positive regulation of cell migration [GO:0030335]; positive regulation of cellular component movement [GO:0051272]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of pinocytosis [GO:0048549]; positive regulation of sodium:proton antiporter activity [GO:0032417]; protein localization to bicellular tight junction [GO:1902396]; protein transport [GO:0015031]; regulation of apoptotic process [GO:0042981]; regulation of nucleic acid-templated transcription [GO:1903506]; response to hypoxia [GO:0001666]; retinoic acid receptor signaling pathway [GO:0048384]; tumor necrosis factor-mediated signaling pathway [GO:0033209]; vesicle transport along actin filament [GO:0030050]	actin binding [GO:0003779]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]; chromatin DNA binding [GO:0031490]; integrin binding [GO:0005178]; ion channel binding [GO:0044325]; nuclear hormone receptor binding [GO:0035257]; nuclear receptor transcription coactivator activity [GO:0030374]; nucleoside binding [GO:0001882]; protein homodimerization activity [GO:0042803]; protein N-terminus binding [GO:0047485]; retinoic acid receptor binding [GO:0042974]; RNA binding [GO:0003723]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription coactivator activity [GO:0003713]
O60264	SMCA5_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)	Homo sapiens (Human)	1052	SMARCA5	chromatin silencing complex [GO:0005677]; condensed chromosome [GO:0000793]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; NURF complex [GO:0016589]; RSF complex [GO:0031213]	ATP-dependent chromatin remodeling [GO:0043044]; cellular response to leukemia inhibitory factor [GO:1990830]; CENP-A containing nucleosome assembly [GO:0034080]; chromatin remodeling [GO:0006338]; chromatin silencing at rDNA [GO:0000183]; DNA-templated transcription, initiation [GO:0006352]; nucleosome assembly [GO:0006334]; nucleosome positioning [GO:0016584]; positive regulation of gene expression, epigenetic [GO:0045815]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of transcription by RNA polymerase II [GO:0006357]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; helicase activity [GO:0004386]; nucleosome binding [GO:0031491]
O60508	PRP17_HUMAN	Pre-mRNA-processing factor 17 (Cell division cycle 40 homolog) (EH-binding protein 3) (Ehb3) (PRP17 homolog) (hPRP17)	Homo sapiens (Human)	579	CDC40	catalytic step 2 spliceosome [GO:0071013]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U2-type catalytic step 2 spliceosome [GO:0071007]	mRNA 3'-end processing [GO:0031124]; mRNA export from nucleus [GO:0006406]; mRNA splicing, via spliceosome [GO:0000398]; RNA export from nucleus [GO:0006405]; RNA splicing [GO:0008380]	RNA binding [GO:0003723]
O75390	CISY_HUMAN	Citrate synthase, mitochondrial (EC 2.3.3.1) (Citrate (Si)-synthase)	Homo sapiens (Human)	466	CS	extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleus [GO:0005634]	carbohydrate metabolic process [GO:0005975]; tricarboxylic acid cycle [GO:0006099]	citrate (Si)-synthase activity [GO:0004108]; RNA binding [GO:0003723]
O75940	SPF30_HUMAN	Survival of motor neuron-related-splicing factor 30 (30 kDa splicing factor SMNrp) (SMN-related protein) (Survival motor neuron domain-containing protein 1)	Homo sapiens (Human)	238	SMNDC1	Cajal body [GO:0015030]; cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]	apoptotic process [GO:0006915]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing, via transesterification reactions [GO:0000375]	RNA binding [GO:0003723]
O94906	PRP6_HUMAN	Pre-mRNA-processing factor 6 (Androgen receptor N-terminal domain-transactivating protein 1) (ANT-1) (PRP6 homolog) (U5 snRNP-associated 102 kDa protein) (U5-102 kDa protein)	Homo sapiens (Human)	941	PRPF6	catalytic step 2 spliceosome [GO:0071013]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]	mRNA splicing, via spliceosome [GO:0000398]; positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA localization [GO:0006403]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]; spliceosomal complex assembly [GO:0000245]; spliceosomal tri-snRNP complex assembly [GO:0000244]	androgen receptor binding [GO:0050681]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; transcription coactivator activity [GO:0003713]
O95926	SYF2_HUMAN	Pre-mRNA-splicing factor SYF2 (CCNDBP1-interactor) (p29)	Homo sapiens (Human)	243	SYF2	catalytic step 2 spliceosome [GO:0071013]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; post-mRNA release spliceosomal complex [GO:0071014]; Prp19 complex [GO:0000974]; U2-type catalytic step 2 spliceosome [GO:0071007]	embryonic organ development [GO:0048568]; gastrulation [GO:0007369]; in utero embryonic development [GO:0001701]; mitotic G2 DNA damage checkpoint [GO:0007095]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of cell population proliferation [GO:0008284]	RNA binding [GO:0003723]
P04792	HSPB1_HUMAN	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	Homo sapiens (Human)	205	HSPB1	axon cytoplasm [GO:1904115]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; focal adhesion [GO:0005925]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; proteasome complex [GO:0000502]; spindle [GO:0005819]; Z disc [GO:0030018]	anterograde axonal protein transport [GO:0099641]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; chaperone-mediated protein folding [GO:0061077]; intracellular signal transduction [GO:0035556]; negative regulation of apoptotic process [GO:0043066]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of protein kinase activity [GO:0006469]; platelet aggregation [GO:0070527]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of endothelial cell chemotaxis [GO:2001028]; positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway [GO:0038033]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of tumor necrosis factor biosynthetic process [GO:0042535]; regulation of autophagy [GO:0010506]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]; regulation of mRNA stability [GO:0043488]; regulation of protein phosphorylation [GO:0001932]; regulation of translational initiation [GO:0006446]; response to unfolded protein [GO:0006986]; response to virus [GO:0009615]; retina homeostasis [GO:0001895]	identical protein binding [GO:0042802]; protein folding chaperone [GO:0044183]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein kinase C binding [GO:0005080]; protein kinase C inhibitor activity [GO:0008426]; RNA binding [GO:0003723]; ubiquitin binding [GO:0043130]
P08579	RU2B_HUMAN	U2 small nuclear ribonucleoprotein B'' (U2 snRNP B'')	Homo sapiens (Human)	225	SNRPB2	catalytic step 2 spliceosome [GO:0071013]; fibrillar center [GO:0001650]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spliceosomal complex [GO:0005681]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]	mRNA splicing, via spliceosome [GO:0000398]	snRNA stem-loop binding [GO:0035614]; snRNP binding [GO:0070990]; U1 snRNA binding [GO:0030619]
P09661	RU2A_HUMAN	U2 small nuclear ribonucleoprotein A' (U2 snRNP A')	Homo sapiens (Human)	255	SNRPA1	catalytic step 2 spliceosome [GO:0071013]; nuclear body [GO:0016604]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; small nuclear ribonucleoprotein complex [GO:0030532]; spliceosomal complex [GO:0005681]; U2 snRNP [GO:0005686]; U2-type catalytic step 2 spliceosome [GO:0071007]; U2-type precatalytic spliceosome [GO:0071005]	interleukin-12-mediated signaling pathway [GO:0035722]; mRNA splicing, via spliceosome [GO:0000398]; RNA splicing [GO:0008380]; spermatogenesis [GO:0007283]	RNA binding [GO:0003723]; U2 snRNA binding [GO:0030620]
P0CB38	PAB4L_HUMAN	Polyadenylate-binding protein 4-like (PABP-4-like) (Poly(A)-binding protein 4-like)	Homo sapiens (Human)	370	PABPC4L	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]		mRNA 3'-UTR binding [GO:0003730]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]
