Entry	Entry.name	Protein.names	Organism	Length	Gene.name	Gene.ontology..cellular.component.	Gene.ontology..biological.process.	Gene.ontology..molecular.function.
P52789	HXK2_HUMAN	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Muscle form hexokinase)	Homo sapiens (Human)	917	HK2	cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; plasma membrane [GO:0005886]; sarcoplasmic reticulum [GO:0016529]	apoptotic mitochondrial changes [GO:0008637]; canonical glycolysis [GO:0061621]; cellular glucose homeostasis [GO:0001678]; cellular response to leukemia inhibitory factor [GO:1990830]; establishment of protein localization to mitochondrion [GO:0072655]; glycolytic process [GO:0006096]; lactation [GO:0007595]; maintenance of protein location in mitochondrion [GO:0072656]; negative regulation of mitochondrial membrane permeability [GO:0035795]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; positive regulation of angiogenesis [GO:0045766]; positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization [GO:1904925]; regulation of glucose import [GO:0046324]; response to hypoxia [GO:0001666]; response to ischemia [GO:0002931]	ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]; hexokinase activity [GO:0004396]; mannokinase activity [GO:0019158]
P55061	BI1_HUMAN	Bax inhibitor 1 (BI-1) (Testis-enhanced gene transcript protein) (Transmembrane BAX inhibitor motif-containing protein 6)	Homo sapiens (Human)	237	TMBIM6	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; mitochondrial membrane [GO:0031966]; nucleus [GO:0005634]	autophagy [GO:0006914]; cellular response to unfolded protein [GO:0034620]; endoplasmic reticulum calcium ion homeostasis [GO:0032469]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; negative regulation of apoptotic process [GO:0043066]; negative regulation of apoptotic signaling pathway [GO:2001234]; negative regulation of calcium ion transport into cytosol [GO:0010523]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of endoribonuclease activity [GO:0060702]; negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway [GO:1903298]; negative regulation of immunoglobulin secretion [GO:0051025]; negative regulation of protein binding [GO:0032091]; negative regulation of RNA splicing [GO:0033119]; negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990441]; response to L-glutamate [GO:1902065]	endoribonuclease inhibitor activity [GO:0060698]; enzyme binding [GO:0019899]; ubiquitin protein ligase binding [GO:0031625]
P36776	LONM_HUMAN	Lon protease homolog, mitochondrial (EC 3.4.21.53) (LONHs) (Lon protease-like protein) (LONP) (Mitochondrial ATP-dependent protease Lon) (Serine protease 15)	Homo sapiens (Human)	959	LONP1	cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	aging [GO:0007568]; cellular response to oxidative stress [GO:0034599]; chaperone-mediated protein complex assembly [GO:0051131]; mitochondrial DNA metabolic process [GO:0032042]; mitochondrial genome maintenance [GO:0000002]; mitochondrion organization [GO:0007005]; oxidation-dependent protein catabolic process [GO:0070407]; protein homooligomerization [GO:0051260]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; proteolysis involved in cellular protein catabolic process [GO:0051603]; response to aluminum ion [GO:0010044]; response to hormone [GO:0009725]; response to hypoxia [GO:0001666]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; DNA polymerase binding [GO:0070182]; G-quadruplex DNA binding [GO:0051880]; mitochondrial promoter sequence-specific DNA binding [GO:0001018]; sequence-specific DNA binding [GO:0043565]; serine-type endopeptidase activity [GO:0004252]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]
P42345	MTOR_HUMAN	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)	Homo sapiens (Human)	2549	MTOR	cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; endomembrane system [GO:0012505]; endoplasmic reticulum membrane [GO:0005789]; glutamatergic synapse [GO:0098978]; Golgi membrane [GO:0000139]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; mitochondrial outer membrane [GO:0005741]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; postsynaptic cytosol [GO:0099524]; TORC1 complex [GO:0031931]; TORC2 complex [GO:0031932]	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; activation of protein kinase B activity [GO:0032148]; anoikis [GO:0043276]; brain development [GO:0007420]; cardiac muscle cell development [GO:0055013]; cardiac muscle contraction [GO:0060048]; cell aging [GO:0007569]; cell cycle arrest [GO:0007050]; cellular response to amino acid starvation [GO:0034198]; cellular response to amino acid stimulus [GO:0071230]; cellular response to hypoxia [GO:0071456]; cellular response to leucine [GO:0071233]; cellular response to leucine starvation [GO:1990253]; cellular response to nutrient levels [GO:0031669]; cellular response to starvation [GO:0009267]; energy reserve metabolic process [GO:0006112]; germ cell development [GO:0007281]; heart morphogenesis [GO:0003007]; heart valve morphogenesis [GO:0003179]; long-term memory [GO:0007616]; maternal process involved in female pregnancy [GO:0060135]; mRNA stabilization [GO:0048255]; multicellular organism growth [GO:0035264]; negative regulation of autophagy [GO:0010507]; negative regulation of calcineurin-NFAT signaling cascade [GO:0070885]; negative regulation of cell size [GO:0045792]; negative regulation of cholangiocyte apoptotic process [GO:1904193]; negative regulation of iodide transmembrane transport [GO:1904213]; negative regulation of macroautophagy [GO:0016242]; negative regulation of muscle atrophy [GO:0014736]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of protein ubiquitination [GO:0031397]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; phosphorylation [GO:0016310]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of cell growth involved in cardiac muscle cell development [GO:0061051]; positive regulation of cholangiocyte proliferation [GO:1904056]; positive regulation of cytoplasmic translational initiation [GO:1904690]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of eating behavior [GO:1904000]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of gene expression [GO:0010628]; positive regulation of glial cell proliferation [GO:0060252]; positive regulation of granulosa cell proliferation [GO:1904197]; positive regulation of keratinocyte migration [GO:0051549]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of myotube differentiation [GO:0010831]; positive regulation of neuron death [GO:1901216]; positive regulation of neuron maturation [GO:0014042]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of oligodendrocyte differentiation [GO:0048714]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of sensory perception of pain [GO:1904058]; positive regulation of skeletal muscle hypertrophy [GO:1904206]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of transcription by RNA polymerase III [GO:0045945]; positive regulation of transcription of nucleolar large rRNA by RNA polymerase I [GO:1901838]; positive regulation of translation [GO:0045727]; positive regulation of wound healing, spreading of epidermal cells [GO:1903691]; post-embryonic development [GO:0009791]; protein autophosphorylation [GO:0046777]; protein catabolic process [GO:0030163]; protein phosphorylation [GO:0006468]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of brown fat cell differentiation [GO:0090335]; regulation of carbohydrate utilization [GO:0043610]; regulation of cell growth [GO:0001558]; regulation of cell size [GO:0008361]; regulation of cellular response to heat [GO:1900034]; regulation of fatty acid beta-oxidation [GO:0031998]; regulation of glycogen biosynthetic process [GO:0005979]; regulation of GTPase activity [GO:0043087]; regulation of macroautophagy [GO:0016241]; regulation of membrane permeability [GO:0090559]; regulation of myelination [GO:0031641]; regulation of osteoclast differentiation [GO:0045670]; regulation of response to food [GO:0032095]; regulation of translation at synapse, modulating synaptic transmission [GO:0099547]; response to activity [GO:0014823]; response to amino acid [GO:0043200]; response to cocaine [GO:0042220]; response to insulin [GO:0032868]; response to morphine [GO:0043278]; response to nutrient [GO:0007584]; ruffle organization [GO:0031529]; social behavior [GO:0035176]; spinal cord development [GO:0021510]; T-helper 1 cell lineage commitment [GO:0002296]; TORC1 signaling [GO:0038202]; TOR signaling [GO:0031929]; visual learning [GO:0008542]; voluntary musculoskeletal movement [GO:0050882]; wound healing [GO:0042060]	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; kinase activity [GO:0016301]; phosphoprotein binding [GO:0051219]; protein domain specific binding [GO:0019904]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; ribosome binding [GO:0043022]; RNA polymerase III type 1 promoter DNA binding [GO:0001030]; RNA polymerase III type 2 promoter DNA binding [GO:0001031]; RNA polymerase III type 3 promoter DNA binding [GO:0001032]; TFIIIC-class transcription factor complex binding [GO:0001156]; translation regulator activity [GO:0045182]
P55786	PSA_HUMAN	Puromycin-sensitive aminopeptidase (PSA) (EC 3.4.11.14) (Cytosol alanyl aminopeptidase) (AAP-S)	Homo sapiens (Human)	919	NPEPPS	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]	cellular response to hypoxia [GO:0071456]; peptide catabolic process [GO:0043171]; positive regulation of protein targeting to mitochondrion [GO:1903955]; protein polyubiquitination [GO:0000209]; proteolysis [GO:0006508]	aminopeptidase activity [GO:0004177]; metalloaminopeptidase activity [GO:0070006]; peptide binding [GO:0042277]; zinc ion binding [GO:0008270]
Q5SSJ5	HP1B3_HUMAN	Heterochromatin protein 1-binding protein 3 (Protein HP1-BP74)	Homo sapiens (Human)	553	HP1BP3	chromosome [GO:0005694]; nuclear speck [GO:0016607]; nucleosome [GO:0000786]; nucleus [GO:0005634]	cellular response to hypoxia [GO:0071456]; heterochromatin organization [GO:0070828]; nucleosome assembly [GO:0006334]; regulation of cell population proliferation [GO:0042127]; regulation of nucleus size [GO:0097298]; regulation of transcription, DNA-templated [GO:0006355]	DNA binding [GO:0003677]; nucleosome binding [GO:0031491]
Q99623	PHB2_HUMAN	Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity)	Homo sapiens (Human)	299	PHB2	axon [GO:0030424]; cell periphery [GO:0071944]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; mitochondrial inner membrane [GO:0005743]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nuclear matrix [GO:0016363]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; presynaptic active zone [GO:0048786]; protein-containing complex [GO:0032991]	cellular response to hypoxia [GO:0071456]; cellular response to retinoic acid [GO:0071300]; mammary gland alveolus development [GO:0060749]; mammary gland branching involved in thelarche [GO:0060744]; mitochondrial calcium ion transmembrane transport [GO:0006851]; mitochondrion organization [GO:0007005]; negative regulation of apoptotic process [GO:0043066]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of mammary gland epithelial cell proliferation [GO:0033600]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of cell cycle G1/S phase transition [GO:1902808]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of exit from mitosis [GO:0031536]; protein import into nucleus [GO:0006606]; protein stabilization [GO:0050821]; regulation of branching involved in mammary gland duct morphogenesis [GO:0060762]; response to wounding [GO:0009611]; sister chromatid cohesion [GO:0007062]	amide binding [GO:0033218]; estrogen receptor binding [GO:0030331]; protein C-terminus binding [GO:0008022]; protein N-terminus binding [GO:0047485]
Q9NQC3	RTN4_HUMAN	Reticulon-4 (Foocen) (Neurite outgrowth inhibitor) (Nogo protein) (Neuroendocrine-specific protein) (NSP) (Neuroendocrine-specific protein C homolog) (RTN-x) (Reticulon-5)	Homo sapiens (Human)	1192	RTN4	cell junction [GO:0030054]; cell projection [GO:0042995]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum tubular network [GO:0071782]; endoplasmic reticulum tubular network membrane [GO:0098826]; integral component of endoplasmic reticulum membrane [GO:0030176]; intracellular [GO:0005622]; neuronal cell body [GO:0043025]; nuclear envelope [GO:0005635]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]	apoptotic process [GO:0006915]; axonal fasciculation [GO:0007413]; blastocyst formation [GO:0001825]; cardiac epithelial to mesenchymal transition [GO:0060317]; cell adhesion involved in sprouting angiogenesis [GO:0120078]; cell migration involved in vasculogenesis [GO:0035441]; cellular response to hypoxia [GO:0071456]; cellular sphingolipid homeostasis [GO:0090156]; central nervous system vasculogenesis [GO:0022009]; cerebral cortex radial glia guided migration [GO:0021801]; endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum tubular network formation [GO:0071787]; endoplasmic reticulum tubular network membrane organization [GO:1990809]; endoplasmic reticulum tubular network organization [GO:0071786]; leukocyte migration involved in inflammatory response [GO:0002523]; negative regulation of axon extension [GO:0030517]; negative regulation of axonogenesis [GO:0050771]; negative regulation of cell growth [GO:0030308]; negative regulation of vasculogenesis [GO:2001213]; nuclear pore complex assembly [GO:0051292]; positive regulation of angiogenesis [GO:0045766]; positive regulation of artery morphogenesis [GO:1905653]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of ERBB3 signaling pathway [GO:1905580]; positive regulation of hepatocyte proliferation [GO:2000347]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of macrophage migration [GO:1905523]; positive regulation of mammary gland epithelial cell proliferation [GO:0033601]; positive regulation of neutrophil migration [GO:1902624]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein localization to endoplasmic reticulum [GO:1905552]; positive regulation of Rac protein signal transduction [GO:0035022]; positive regulation of toll-like receptor 9 signaling pathway [GO:0034165]; protein localization to lysosome [GO:0061462]; protein stabilization [GO:0050821]; regulation of apoptotic process [GO:0042981]; regulation of branching morphogenesis of a nerve [GO:2000172]; regulation of cell migration [GO:0030334]	cadherin binding [GO:0045296]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; ubiquitin protein ligase binding [GO:0031625]
O15519	CFLAR_HUMAN	CASP8 and FADD-like apoptosis regulator (Caspase homolog) (CASH) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (Cellular FLICE-like inhibitory protein) (c-FLIP) (FADD-like antiapoptotic molecule 1) (FLAME-1) (Inhibitor of FLICE) (I-FLICE) (MACH-related inducer of toxicity) (MRIT) (Usurpin) [Cleaved into: CASP8 and FADD-like apoptosis regulator subunit p43; CASP8 and FADD-like apoptosis regulator subunit p12]	Homo sapiens (Human)	480	CFLAR	CD95 death-inducing signaling complex [GO:0031265]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; death-inducing signaling complex [GO:0031264]; membrane raft [GO:0045121]; ripoptosome [GO:0097342]	apoptotic process [GO:0006915]; cellular response to dexamethasone stimulus [GO:0071549]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to estradiol stimulus [GO:0071392]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; cellular response to nitric oxide [GO:0071732]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of cellular response to transforming growth factor beta stimulus [GO:1903845]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; negative regulation of hepatocyte apoptotic process [GO:1903944]; negative regulation of myoblast fusion [GO:1901740]; negative regulation of necroptotic process [GO:0060546]; negative regulation of reactive oxygen species biosynthetic process [GO:1903427]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of extracellular matrix organization [GO:1903055]; positive regulation of glomerular mesangial cell proliferation [GO:0072126]; positive regulation of hepatocyte proliferation [GO:2000347]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of neuron projection development [GO:0010976]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902041]; regulation of necroptotic process [GO:0060544]; regulation of skeletal muscle satellite cell proliferation [GO:0014842]; response to bacterium [GO:0009617]; response to testosterone [GO:0033574]; skeletal muscle atrophy [GO:0014732]; skeletal muscle tissue development [GO:0007519]; skeletal muscle tissue regeneration [GO:0043403]; skeletal myofibril assembly [GO:0014866]; viral process [GO:0016032]	cysteine-type endopeptidase activity involved in apoptotic process [GO:0097153]; death receptor binding [GO:0005123]; enzyme activator activity [GO:0008047]; peptidase activator activity [GO:0016504]; protease binding [GO:0002020]; protein-containing complex binding [GO:0044877]; protein heterodimerization activity [GO:0046982]
O15551	CLD3_HUMAN	Claudin-3 (Clostridium perfringens enterotoxin receptor 2) (CPE-R 2) (CPE-receptor 2) (Rat ventral prostate.1 protein homolog) (hRVP1)	Homo sapiens (Human)	220	CLDN3	apicolateral plasma membrane [GO:0016327]; bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; lateral plasma membrane [GO:0016328]	bicellular tight junction assembly [GO:0070830]; calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules [GO:0016338]; epithelial cell morphogenesis [GO:0003382]; protein heterooligomerization [GO:0051291]; protein homooligomerization [GO:0051260]; response to ethanol [GO:0045471]; response to hypoxia [GO:0001666]	identical protein binding [GO:0042802]; structural molecule activity [GO:0005198]; transmembrane signaling receptor activity [GO:0004888]
O75116	ROCK2_HUMAN	Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)	Homo sapiens (Human)	1388	ROCK2	centrosome [GO:0005813]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	aortic valve morphogenesis [GO:0003180]; cellular response to acetylcholine [GO:1905145]; cellular response to testosterone stimulus [GO:0071394]; centrosome duplication [GO:0051298]; cortical actin cytoskeleton organization [GO:0030866]; ephrin receptor signaling pathway [GO:0048013]; G protein-coupled receptor signaling pathway [GO:0007186]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; mRNA destabilization [GO:0061157]; negative regulation of angiogenesis [GO:0016525]; negative regulation of bicellular tight junction assembly [GO:1903347]; negative regulation of biomineral tissue development [GO:0070168]; negative regulation of gene expression [GO:0010629]; negative regulation of myosin-light-chain-phosphatase activity [GO:0035509]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; negative regulation of protein localization to lysosome [GO:0150033]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of amyloid precursor protein catabolic process [GO:1902993]; positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process [GO:1902961]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of cell migration [GO:0030335]; positive regulation of centrosome duplication [GO:0010825]; positive regulation of connective tissue growth factor production [GO:0032723]; positive regulation of connective tissue replacement [GO:1905205]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of fibroblast growth factor production [GO:0090271]; positive regulation of gene expression [GO:0010628]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein localization to early endosome [GO:1902966]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of stress fiber assembly [GO:0051496]; protein localization to plasma membrane [GO:0072659]; protein phosphorylation [GO:0006468]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of angiotensin-activated signaling pathway [GO:0110061]; regulation of blood vessel diameter [GO:0097746]; regulation of cell adhesion [GO:0030155]; regulation of cell motility [GO:2000145]; regulation of cellular response to hypoxia [GO:1900037]; regulation of circadian rhythm [GO:0042752]; regulation of establishment of cell polarity [GO:2000114]; regulation of establishment of endothelial barrier [GO:1903140]; regulation of focal adhesion assembly [GO:0051893]; regulation of keratinocyte differentiation [GO:0045616]; regulation of neurological system process [GO:0031644]; regulation of protein metabolic process [GO:0051246]; regulation of stress fiber assembly [GO:0051492]; response to angiotensin [GO:1990776]; response to ischemia [GO:0002931]; response to transforming growth factor beta [GO:0071559]; Rho protein signal transduction [GO:0007266]; rhythmic process [GO:0048511]; smooth muscle contraction [GO:0006939]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; viral RNA genome replication [GO:0039694]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; Rho GTPase binding [GO:0017048]; RNA binding [GO:0003723]; structural molecule activity [GO:0005198]; tau protein binding [GO:0048156]; tau-protein kinase activity [GO:0050321]
P03915	NU5M_HUMAN	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	Homo sapiens (Human)	603	MT-ND5	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial respiratory chain complex I [GO:0005747]; neuron projection [GO:0043005]	mitochondrial electron transport, NADH to ubiquinone [GO:0006120]; mitochondrial respiratory chain complex I assembly [GO:0032981]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; response to organonitrogen compound [GO:0010243]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]
P14672	GLUT4_HUMAN	Solute carrier family 2, facilitated glucose transporter member 4 (Glucose transporter type 4, insulin-responsive) (GLUT-4)	Homo sapiens (Human)	509	SLC2A4	clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; cytoplasmic vesicle membrane [GO:0030659]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; insulin-responsive compartment [GO:0032593]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; membrane raft [GO:0045121]; multivesicular body [GO:0005771]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; sarcoplasmic reticulum [GO:0016529]; trans-Golgi network transport vesicle [GO:0030140]; T-tubule [GO:0030315]; vesicle membrane [GO:0012506]	amylopectin biosynthetic process [GO:0010021]; brown fat cell differentiation [GO:0050873]; carbohydrate metabolic process [GO:0005975]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; cellular response to osmotic stress [GO:0071470]; cellular response to tumor necrosis factor [GO:0071356]; glucose homeostasis [GO:0042593]; glucose import [GO:0046323]; glucose import in response to insulin stimulus [GO:0044381]; glucose transmembrane transport [GO:1904659]; regulation of synaptic vesicle budding from presynaptic endocytic zone membrane [GO:0098694]; response to ethanol [GO:0045471]	D-glucose transmembrane transporter activity [GO:0055056]; glucose transmembrane transporter activity [GO:0005355]
P18074	ERCC2_HUMAN	General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD) (EC 3.6.4.12) (Basic transcription factor 2 80 kDa subunit) (BTF2 p80) (CXPD) (DNA excision repair protein ERCC-2) (DNA repair protein complementing XP-D cells) (TFIIH basal transcription factor complex 80 kDa subunit) (TFIIH 80 kDa subunit) (TFIIH p80) (Xeroderma pigmentosum group D-complementing protein)	Homo sapiens (Human)	760	ERCC2	CAK-ERCC2 complex [GO:0070516]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; MMXD complex [GO:0071817]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; transcription factor TFIID complex [GO:0005669]; transcription factor TFIIH core complex [GO:0000439]; transcription factor TFIIH holo complex [GO:0005675]	7-methylguanosine mRNA capping [GO:0006370]; aging [GO:0007568]; apoptotic process [GO:0006915]; bone mineralization [GO:0030282]; cell population proliferation [GO:0008283]; central nervous system myelin formation [GO:0032289]; chromosome segregation [GO:0007059]; embryonic cleavage [GO:0040016]; embryonic organ development [GO:0048568]; erythrocyte maturation [GO:0043249]; extracellular matrix organization [GO:0030198]; global genome nucleotide-excision repair [GO:0070911]; hair cell differentiation [GO:0035315]; hair follicle maturation [GO:0048820]; hematopoietic stem cell differentiation [GO:0060218]; in utero embryonic development [GO:0001701]; multicellular organism growth [GO:0035264]; nucleotide-excision repair [GO:0006289]; nucleotide-excision repair, DNA duplex unwinding [GO:0000717]; nucleotide-excision repair, DNA incision [GO:0033683]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; nucleotide-excision repair, preincision complex assembly [GO:0006294]; nucleotide-excision repair, preincision complex stabilization [GO:0006293]; positive regulation of DNA binding [GO:0043388]; positive regulation of mitotic recombination [GO:0045951]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; post-embryonic development [GO:0009791]; protein phosphorylation [GO:0006468]; regulation of mitotic cell cycle phase transition [GO:1901990]; regulation of mitotic recombination [GO:0000019]; response to hypoxia [GO:0001666]; response to oxidative stress [GO:0006979]; response to UV [GO:0009411]; spinal cord development [GO:0021510]; termination of RNA polymerase I transcription [GO:0006363]; transcription by RNA polymerase II [GO:0006366]; transcription-coupled nucleotide-excision repair [GO:0006283]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcription initiation from RNA polymerase II promoter [GO:0006367]; transcription initiation from RNA polymerase I promoter [GO:0006361]; UV protection [GO:0009650]; viral process [GO:0016032]	4 iron, 4 sulfur cluster binding [GO:0051539]; 5'-3' DNA helicase activity [GO:0043139]; ATP binding [GO:0005524]; ATP-dependent 5'-3' DNA helicase activity [GO:0043141]; ATP-dependent DNA helicase activity [GO:0004003]; damaged DNA binding [GO:0003684]; DNA-dependent ATPase activity [GO:0008094]; metal ion binding [GO:0046872]; protein binding, bridging [GO:0030674]; protein C-terminus binding [GO:0008022]; protein N-terminus binding [GO:0047485]
