Entry	Entry.name	Protein.names	Organism	Length	Gene.name	Gene.ontology..cellular.component.	Gene.ontology..biological.process.	Gene.ontology..molecular.function.	Category
P02511	CRYAB_HUMAN	Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component)	Homo sapiens (Human)	175	CRYAB	actin filament bundle [GO:0032432]; axon [GO:0030424]; cardiac myofibril [GO:0097512]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; M band [GO:0031430]; microtubule cytoskeleton [GO:0015630]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; postsynaptic density [GO:0014069]; synaptic membrane [GO:0097060]; Z disc [GO:0030018]	apoptotic process involved in morphogenesis [GO:0060561]; cellular response to gamma radiation [GO:0071480]; lens development in camera-type eye [GO:0002088]; microtubule polymerization or depolymerization [GO:0031109]; multicellular organism aging [GO:0010259]; muscle contraction [GO:0006936]; muscle organ development [GO:0007517]; negative regulation of amyloid fibril formation [GO:1905907]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell growth [GO:0030308]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of gene expression [GO:0010629]; negative regulation of intracellular transport [GO:0032387]; negative regulation of protein homooligomerization [GO:0032463]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; protein folding [GO:0006457]; protein homooligomerization [GO:0051260]; protein stabilization [GO:0050821]; regulation of cell death [GO:0010941]; regulation of cellular response to heat [GO:1900034]; response to estradiol [GO:0032355]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; stress-activated MAPK cascade [GO:0051403]; tubulin complex assembly [GO:0007021]	amyloid-beta binding [GO:0001540]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; microtubule binding [GO:0008017]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]; structural constituent of eye lens [GO:0005212]; unfolded protein binding [GO:0051082]	Hypoxia-RBP
P07996	TSP1_HUMAN	Thrombospondin-1 (Glycoprotein G)	Homo sapiens (Human)	1170	THBS1	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fibrinogen complex [GO:0005577]; platelet alpha granule [GO:0031091]; platelet alpha granule lumen [GO:0031093]; sarcoplasmic reticulum [GO:0016529]; secretory granule [GO:0030141]	activation of MAPK activity [GO:0000187]; behavioral response to pain [GO:0048266]; cell adhesion [GO:0007155]; cell cycle arrest [GO:0007050]; cell migration [GO:0016477]; cellular response to growth factor stimulus [GO:0071363]; cellular response to heat [GO:0034605]; cellular response to tumor necrosis factor [GO:0071356]; chronic inflammatory response [GO:0002544]; engulfment of apoptotic cell [GO:0043652]; extracellular matrix organization [GO:0030198]; immune response [GO:0006955]; inflammatory response [GO:0006954]; negative regulation of angiogenesis [GO:0016525]; negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II [GO:0002581]; negative regulation of apoptotic process [GO:0043066]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:1903588]; negative regulation of cell-matrix adhesion [GO:0001953]; negative regulation of cell migration involved in sprouting angiogenesis [GO:0090051]; negative regulation of cGMP-mediated signaling [GO:0010754]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of dendritic cell antigen processing and presentation [GO:0002605]; negative regulation of endothelial cell chemotaxis [GO:2001027]; negative regulation of endothelial cell migration [GO:0010596]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of fibrinolysis [GO:0051918]; negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]; negative regulation of focal adhesion assembly [GO:0051895]; negative regulation of interleukin-12 production [GO:0032695]; negative regulation of long-chain fatty acid import across plasma membrane [GO:0010748]; negative regulation of nitric oxide mediated signal transduction [GO:0010751]; negative regulation of plasminogen activation [GO:0010757]; negative regulation of sprouting angiogenesis [GO:1903671]; peptide cross-linking [GO:0018149]; platelet degranulation [GO:0002576]; positive regulation of angiogenesis [GO:0045766]; positive regulation of blood coagulation [GO:0030194]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of chemotaxis [GO:0050921]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043]; positive regulation of fibroblast migration [GO:0010763]; positive regulation of macrophage activation [GO:0043032]; positive regulation of macrophage chemotaxis [GO:0010759]; positive regulation of phosphorylation [GO:0042327]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of transforming growth factor beta1 production [GO:0032914]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; positive regulation of translation [GO:0045727]; positive regulation of tumor necrosis factor biosynthetic process [GO:0042535]; regulation of megakaryocyte differentiation [GO:0045652]; response to calcium ion [GO:0051592]; response to drug [GO:0042493]; response to endoplasmic reticulum stress [GO:0034976]; response to glucose [GO:0009749]; response to hypoxia [GO:0001666]; response to magnesium ion [GO:0032026]; response to mechanical stimulus [GO:0009612]; response to progesterone [GO:0032570]; response to testosterone [GO:0033574]; response to unfolded protein [GO:0006986]; sprouting angiogenesis [GO:0002040]	calcium ion binding [GO:0005509]; collagen V binding [GO:0070052]; extracellular matrix structural constituent [GO:0005201]; fibrinogen binding [GO:0070051]; fibroblast growth factor binding [GO:0017134]; fibronectin binding [GO:0001968]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; laminin binding [GO:0043236]; low-density lipoprotein particle binding [GO:0030169]; phosphatidylserine binding [GO:0001786]; proteoglycan binding [GO:0043394]; transforming growth factor beta binding [GO:0050431]	Hypoxia-RBP
P11166	GTR1_HUMAN	Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)	Homo sapiens (Human)	492	SLC2A1	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; blood microparticle [GO:0072562]; caveola [GO:0005901]; cortical actin cytoskeleton [GO:0030864]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; female pronucleus [GO:0001939]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; intercalated disc [GO:0014704]; melanosome [GO:0042470]; membrane [GO:0016020]; midbody [GO:0030496]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; Z disc [GO:0030018]	cellular hyperosmotic response [GO:0071474]; cellular response to glucose starvation [GO:0042149]; cellular response to mechanical stimulus [GO:0071260]; cerebral cortex development [GO:0021987]; female pregnancy [GO:0007565]; glucose transmembrane transport [GO:1904659]; lactose biosynthetic process [GO:0005989]; L-ascorbic acid metabolic process [GO:0019852]; protein-containing complex assembly [GO:0065003]; regulation of glucose transmembrane transport [GO:0010827]; regulation of insulin secretion [GO:0050796]; response to hypoxia [GO:0001666]; response to insulin [GO:0032868]; response to Thyroglobulin triiodothyronine [GO:1904016]	dehydroascorbic acid transmembrane transporter activity [GO:0033300]; D-glucose transmembrane transporter activity [GO:0055056]; glucose transmembrane transporter activity [GO:0005355]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]; protein self-association [GO:0043621]; xenobiotic transmembrane transporter activity [GO:0042910]	Hypoxia-RBP
P17655	CAN2_HUMAN	Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain large polypeptide L2) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	Homo sapiens (Human)	700	CAPN2	chromatin [GO:0000785]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; lysosome [GO:0005764]; membrane raft [GO:0045121]; mitochondrial intermembrane space [GO:0005758]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perinuclear endoplasmic reticulum [GO:0097038]; plasma membrane [GO:0005886]; pseudopodium [GO:0031143]	behavioral response to pain [GO:0048266]; blastocyst development [GO:0001824]; cellular response to amino acid stimulus [GO:0071230]; cellular response to interferon-beta [GO:0035458]; cellular response to lipopolysaccharide [GO:0071222]; female pregnancy [GO:0007565]; myoblast fusion [GO:0007520]; positive regulation of cardiac muscle cell apoptotic process [GO:0010666]; positive regulation of myoblast fusion [GO:1901741]; positive regulation of neuron death [GO:1901216]; positive regulation of phosphatidylcholine biosynthetic process [GO:2001247]; protein autoprocessing [GO:0016540]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; regulation of cytoskeleton organization [GO:0051493]; regulation of interleukin-6 production [GO:0032675]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]	calcium-dependent cysteine-type endopeptidase activity [GO:0004198]; calcium ion binding [GO:0005509]; cysteine-type peptidase activity [GO:0008234]; cytoskeletal protein binding [GO:0008092]; enzyme binding [GO:0019899]; protein heterodimerization activity [GO:0046982]	Hypoxia-RBP
P30566	PUR8_HUMAN	Adenylosuccinate lyase (ADSL) (ASL) (EC 4.3.2.2) (Adenylosuccinase) (ASase)	Homo sapiens (Human)	484	ADSL	cytosol [GO:0005829]	'de novo' AMP biosynthetic process [GO:0044208]; 'de novo' IMP biosynthetic process [GO:0006189]; aerobic respiration [GO:0009060]; AMP biosynthetic process [GO:0006167]; protein tetramerization [GO:0051262]; purine nucleotide biosynthetic process [GO:0006164]; purine ribonucleoside monophosphate biosynthetic process [GO:0009168]; response to hypoxia [GO:0001666]; response to muscle activity [GO:0014850]; response to nutrient [GO:0007584]; response to starvation [GO:0042594]	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]	Hypoxia-RBP
P61586	RHOA_HUMAN	Transforming protein RhoA (Rho cDNA clone 12) (h12)	Homo sapiens (Human)	193	RHOA	apical junction complex [GO:0043296]; axon [GO:0030424]; cell cortex [GO:0005938]; cell division site [GO:0032153]; cell junction [GO:0030054]; cell periphery [GO:0071944]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; ficolin-1-rich granule membrane [GO:0101003]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; intracellular membrane-bounded organelle [GO:0043231]; lamellipodium [GO:0030027]; midbody [GO:0030496]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; ruffle membrane [GO:0032587]; secretory granule membrane [GO:0030667]; vesicle [GO:0031982]	actin cytoskeleton organization [GO:0030036]; actin cytoskeleton reorganization [GO:0031532]; actin filament bundle assembly [GO:0051017]; actin filament organization [GO:0007015]; alpha-beta T cell lineage commitment [GO:0002363]; androgen receptor signaling pathway [GO:0030521]; angiotensin-mediated vasoconstriction involved in regulation of systemic arterial blood pressure [GO:0001998]; apical junction assembly [GO:0043297]; apolipoprotein A-I-mediated signaling pathway [GO:0038027]; beta selection [GO:0043366]; cell junction assembly [GO:0034329]; cell-matrix adhesion [GO:0007160]; cell migration [GO:0016477]; cellular response to chemokine [GO:1990869]; cellular response to cytokine stimulus [GO:0071345]; cellular response to lipopolysaccharide [GO:0071222]; cerebral cortex cell migration [GO:0021795]; cleavage furrow formation [GO:0036089]; endothelial cell migration [GO:0043542]; endothelial tube lumen extension [GO:0097498]; ephrin receptor signaling pathway [GO:0048013]; establishment of epithelial cell apical/basal polarity [GO:0045198]; establishment or maintenance of actin cytoskeleton polarity [GO:0030950]; forebrain radial glial cell differentiation [GO:0021861]; G protein-coupled receptor signaling pathway [GO:0007186]; GTP metabolic process [GO:0046039]; mitotic cleavage furrow formation [GO:1903673]; mitotic spindle assembly [GO:0090307]; negative chemotaxis [GO:0050919]; negative regulation of axonogenesis [GO:0050771]; negative regulation of cell migration involved in sprouting angiogenesis [GO:0090051]; negative regulation of cell size [GO:0045792]; negative regulation of cell-substrate adhesion [GO:0010812]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of intracellular steroid hormone receptor signaling pathway [GO:0033144]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of oxidative phosphorylation [GO:0090324]; negative regulation of reactive oxygen species biosynthetic process [GO:1903427]; neuron projection morphogenesis [GO:0048812]; neutrophil degranulation [GO:0043312]; odontogenesis [GO:0042476]; ossification involved in bone maturation [GO:0043931]; phosphatidylinositol-mediated signaling [GO:0048015]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of alpha-beta T cell differentiation [GO:0046638]; positive regulation of axonogenesis [GO:0050772]; positive regulation of cell growth [GO:0030307]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of cytokinesis [GO:0032467]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of leukocyte adhesion to vascular endothelial cell [GO:1904996]; positive regulation of lipase activity [GO:0060193]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of podosome assembly [GO:0071803]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of T cell migration [GO:2000406]; positive regulation of translation [GO:0045727]; positive regulation of vascular smooth muscle contraction [GO:1904695]; protein deubiquitination [GO:0016579]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of calcium ion transport [GO:0051924]; regulation of cell migration [GO:0030334]; regulation of cell motility [GO:2000145]; regulation of cell shape [GO:0008360]; regulation of dendrite development [GO:0050773]; regulation of focal adhesion assembly [GO:0051893]; regulation of microtubule cytoskeleton organization [GO:0070507]; regulation of modification of postsynaptic actin cytoskeleton [GO:1905274]; regulation of neural precursor cell proliferation [GO:2000177]; regulation of osteoblast proliferation [GO:0033688]; regulation of small GTPase mediated signal transduction [GO:0051056]; regulation of systemic arterial blood pressure by endothelin [GO:0003100]; regulation of transcription by RNA polymerase II [GO:0006357]; response to amino acid [GO:0043200]; response to ethanol [GO:0045471]; response to glucocorticoid [GO:0051384]; response to glucose [GO:0009749]; response to hypoxia [GO:0001666]; response to mechanical stimulus [GO:0009612]; Rho protein signal transduction [GO:0007266]; Roundabout signaling pathway [GO:0035385]; skeletal muscle satellite cell migration [GO:1902766]; skeletal muscle tissue development [GO:0007519]; stress-activated protein kinase signaling cascade [GO:0031098]; stress fiber assembly [GO:0043149]; substantia nigra development [GO:0021762]; trabecula morphogenesis [GO:0061383]; transforming growth factor beta receptor signaling pathway [GO:0007179]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]; viral process [GO:0016032]; Wnt signaling pathway, planar cell polarity pathway [GO:0060071]; wound healing, spreading of cells [GO:0044319]	GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; myosin binding [GO:0017022]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; Rho GDP-dissociation inhibitor binding [GO:0051022]	Hypoxia-RBP
Q02809	PLOD1_HUMAN	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (EC 1.14.11.4) (Lysyl hydroxylase 1) (LH1)	Homo sapiens (Human)	727	PLOD1	catalytic complex [GO:1902494]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; rough endoplasmic reticulum membrane [GO:0030867]	cellular protein modification process [GO:0006464]; collagen fibril organization [GO:0030199]; collagen metabolic process [GO:0032963]; epidermis development [GO:0008544]; hydroxylysine biosynthetic process [GO:0046947]; oxidation-reduction process [GO:0055114]; peptidyl-lysine hydroxylation [GO:0017185]; response to hypoxia [GO:0001666]	iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; procollagen-lysine 5-dioxygenase activity [GO:0008475]; protein homodimerization activity [GO:0042803]	Hypoxia-RBP
Q9Y4P3	TBL2_HUMAN	Transducin beta-like protein 2 (WS beta-transducin repeats protein) (WS-betaTRP) (Williams-Beuren syndrome chromosomal region 13 protein)	Homo sapiens (Human)	447	TBL2	endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]	cellular response to glucose starvation [GO:0042149]; cellular response to hypoxia [GO:0071456]; endoplasmic reticulum unfolded protein response [GO:0030968]	phosphoprotein binding [GO:0051219]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; translation initiation factor binding [GO:0031369]	UPR-RBP
P19525	E2AK2_HUMAN	Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)	Homo sapiens (Human)	551	EIF2AK2	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; membrane [GO:0016020]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ribosome [GO:0005840]	activation of MAPKK activity [GO:0000186]; cellular response to amino acid starvation [GO:0034198]; defense response to virus [GO:0051607]; endoplasmic reticulum unfolded protein response [GO:0030968]; evasion or tolerance by virus of host immune response [GO:0030683]; innate immune response [GO:0045087]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of osteoblast proliferation [GO:0033689]; negative regulation of translation [GO:0017148]; negative regulation of viral genome replication [GO:0045071]; positive regulation of chemokine production [GO:0032722]; positive regulation of cytokine production [GO:0001819]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of stress-activated MAPK cascade [GO:0032874]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of hematopoietic progenitor cell differentiation [GO:1901532]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of hematopoietic stem cell proliferation [GO:1902033]; regulation of NLRP3 inflammasome complex assembly [GO:1900225]; response to interferon-alpha [GO:0035455]; response to toxic substance [GO:0009636]; response to virus [GO:0009615]; translation [GO:0006412]	ATP binding [GO:0005524]; double-stranded RNA binding [GO:0003725]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; identical protein binding [GO:0042802]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein kinase activity [GO:0004672]; protein phosphatase regulator activity [GO:0019888]; protein serine/threonine kinase activity [GO:0004674]; RNA binding [GO:0003723]	UPR-RBP
P11021	BIP_HUMAN	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	Homo sapiens (Human)	654	HSPA5	cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; integral component of endoplasmic reticulum membrane [GO:0030176]; intracellular membrane-bounded organelle [GO:0043231]; melanosome [GO:0042470]; membrane [GO:0016020]; midbody [GO:0030496]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; smooth endoplasmic reticulum [GO:0005790]	ATF6-mediated unfolded protein response [GO:0036500]; cellular response to antibiotic [GO:0071236]; cellular response to calcium ion [GO:0071277]; cellular response to cAMP [GO:0071320]; cellular response to drug [GO:0035690]; cellular response to gamma radiation [GO:0071480]; cellular response to glucose starvation [GO:0042149]; cellular response to heat [GO:0034605]; cellular response to interleukin-4 [GO:0071353]; cellular response to manganese ion [GO:0071287]; cellular response to nerve growth factor stimulus [GO:1990090]; cellular response to unfolded protein [GO:0034620]; cerebellar Purkinje cell layer development [GO:0021680]; cerebellum structural organization [GO:0021589]; chaperone cofactor-dependent protein refolding [GO:0051085]; endoplasmic reticulum unfolded protein response [GO:0030968]; ER overload response [GO:0006983]; IRE1-mediated unfolded protein response [GO:0036498]; luteolysis [GO:0001554]; maintenance of protein localization in endoplasmic reticulum [GO:0035437]; negative regulation of apoptotic process [GO:0043066]; negative regulation of IRE1-mediated unfolded protein response [GO:1903895]; negative regulation of protein homodimerization activity [GO:0090074]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neuron apoptotic process [GO:0051402]; neuron differentiation [GO:0030182]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of cell migration [GO:0030335]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein ubiquitination [GO:0031398]; positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress [GO:1990440]; protein folding in endoplasmic reticulum [GO:0034975]; protein refolding [GO:0042026]; regulation of ATF6-mediated unfolded protein response [GO:1903891]; regulation of IRE1-mediated unfolded protein response [GO:1903894]; regulation of PERK-mediated unfolded protein response [GO:1903897]; regulation of protein folding in endoplasmic reticulum [GO:0060904]; response to cocaine [GO:0042220]; response to methamphetamine hydrochloride [GO:1904313]; response to unfolded protein [GO:0006986]; stress response to metal ion [GO:0097501]; substantia nigra development [GO:0021762]; toxin transport [GO:1901998]; ubiquitin-dependent ERAD pathway [GO:0030433]	ATPase activity [GO:0016887]; ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; chaperone binding [GO:0051087]; enzyme binding [GO:0019899]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein domain specific binding [GO:0019904]; protein folding chaperone [GO:0044183]; ribosome binding [GO:0043022]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]	UPR-RBP
P55072	TERA_HUMAN	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	Homo sapiens (Human)	806	VCP	ATPase complex [GO:1904949]; azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; Derlin-1 retrotranslocation complex [GO:0036513]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; glutamatergic synapse [GO:0098978]; intracellular membrane-bounded organelle [GO:0043231]; lipid droplet [GO:0005811]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; proteasome complex [GO:0000502]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]; site of double-strand break [GO:0035861]; VCP-NPL4-UFD1 AAA ATPase complex [GO:0034098]; VCP-NSFL1C complex [GO:1990730]	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; aggresome assembly [GO:0070842]; ATP metabolic process [GO:0046034]; autophagosome maturation [GO:0097352]; autophagy [GO:0006914]; cellular response to arsenite ion [GO:1903843]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to heat [GO:0034605]; DNA repair [GO:0006281]; double-strand break repair [GO:0006302]; endoplasmic reticulum stress-induced pre-emptive quality control [GO:0061857]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; endoplasmic reticulum unfolded protein response [GO:0030968]; endosome to lysosome transport via multivesicular body sorting pathway [GO:0032510]; ERAD pathway [GO:0036503]; ER-associated misfolded protein catabolic process [GO:0071712]; error-free translesion synthesis [GO:0070987]; establishment of protein localization [GO:0045184]; flavin adenine dinucleotide catabolic process [GO:0072389]; macroautophagy [GO:0016236]; mitotic spindle disassembly [GO:0051228]; NADH metabolic process [GO:0006734]; neutrophil degranulation [GO:0043312]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of Lys63-specific deubiquitinase activity [GO:1903007]; positive regulation of mitochondrial membrane potential [GO:0010918]; positive regulation of oxidative phosphorylation [GO:1903862]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of protein complex assembly [GO:0031334]; positive regulation of protein K63-linked deubiquitination [GO:1903006]; proteasomal protein catabolic process [GO:0010498]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; protein folding [GO:0006457]; protein hexamerization [GO:0034214]; protein homooligomerization [GO:0051260]; protein N-linked glycosylation via asparagine [GO:0018279]; protein ubiquitination [GO:0016567]; regulation of aerobic respiration [GO:1903715]; regulation of apoptotic process [GO:0042981]; regulation of synapse organization [GO:0050807]; retrograde protein transport, ER to cytosol [GO:0030970]; stress granule disassembly [GO:0035617]; translesion synthesis [GO:0019985]; transmembrane transport [GO:0055085]; ubiquitin-dependent ERAD pathway [GO:0030433]; viral genome replication [GO:0019079]	ADP binding [GO:0043531]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; BAT3 complex binding [GO:1904288]; deubiquitinase activator activity [GO:0035800]; identical protein binding [GO:0042802]; K48-linked polyubiquitin modification-dependent protein binding [GO:0036435]; lipid binding [GO:0008289]; MHC class I protein binding [GO:0042288]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein domain specific binding [GO:0019904]; protein phosphatase binding [GO:0019903]; RNA binding [GO:0003723]; ubiquitin-like protein ligase binding [GO:0044389]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-specific protease binding [GO:1990381]	UPR-RBP
